Tweet,Message,Match,Polarity
83,"growing up as a ESL speaker, ive never fully grasped the concept of the parts of speech until I entered university ",NONE,neutral
84,"RT eberlmat ""If being an international university is to mean anything, it must at the very least mean defending non UK staff when they co",NONE,neutral
85,RT mark carrigan Digital platforms can now be found throughout universities. What does this mean for the future of higher education Join,NONE,neutral
86,"RT AmplifyCapital Education amp opportunity University, way overrated, many r damaging. You can learn so much on line, study anything.",NONE,neutral
87,RT Zoompad Normanjam67 The most wonderful part of the Occupy movement at St Paul's Cathedral was the free pop up university and library,"wonderful,free",positive
88,Guidance and counseling workshops shouldn't only be for low levels of education but also be applicable to universit ,guidance,positive
89,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
90,"RT Independent University vice chancellor paid 300,000 a year suspended for 'not paying rent' ",vice,negative
91,"RT FedUp9jaMan Hmm. I have a few. Let's see 1. Not everyone needs to, or should, go to University. Secondary school education the Int",NONE,neutral
92,"RT UAlbarella We were forced to use the only language they understand. Hope we won't have to strike, but if we do, I'm prepared to give u",NONE,neutral
93,"RT Independent University vice chancellor paid 300,000 a year suspended for 'not paying rent' ",vice,negative
94,'Angry' university workers vote in favour of industrial action ,favour,positive
95,"University vice chancellor paid 300,000 a year suspended for 'not paying rent' ",vice,negative
96,"RT AmplifyCapital Education amp opportunity University, way overrated, many r damaging. You can learn so much on line, study anything.",NONE,neutral
97,RT DrJoGrady The mandate for strike action is significant. Universities now have to come back to us prepared to work seriously to addres,NONE,neutral
98,"RT Neo url In SA, poor working class black women amp middle class black women with university education work outside the home. Married and",NONE,neutral
99, JustSewYouKnow... I am a proud graduate of the University of Florida in Health Science Education Egg xactly ,proud,positive
100,RT Fowe My estimate is that gt 95 of all top tech engineers in from Nigeria got skilled via self development proper use of the internet.,"top,skilled,proper",positive
101," amsoufi BradWalsh AOC Charlie Kirk does not have a formal education, and would absolutely rip AOC apart in a de ",rip,negative
102,RT ANDYCAV4 Which is EXACTLY why CADENJAR7 amp I have put together a NEW digital university Yes were coming after the fucking Ivy Lea,fucking,negative
103,RT EcolintGeneva A fantastic start to the Ecolint Durham University MA in Education International education durham Ecolint profess,fantastic,positive
104,"RT Best Khosa Happy birthday to this phenomenal woman Prof Phakeng, a Vice Chancellor, Professor of Mathematics education, a recipient of","best,happy,phenomenal",positive
105,Creation Scientists via smedian network . Medium medium blog religion christianity church Genesis news ,NONE,neutral
106,"RT LizH1955 50s Women have literally not had the same access to private pension that men have had. And for many of us, not the same benef",NONE,neutral
107,"The three things I can think of that have gotten ungodly expensive in the last twenty years health care, univers ",expensive,negative
108,"Free Education University gt gt How to get grants for trade or vocational school, community colleges, or a university ",free,positive
109,RT loonenzer loonenzer sliit exams examstress memes education exam college study motivation student university like life j,like,positive
110,RT MSUTexas MSU Texas President Suzanne Shipley and Texas Tech University System Chancellor Tedd L. Mitchell announce the partnership and,NONE,neutral
111,"STEM grads race ahead on salaries with diploma in hand, but by age 40 those with humanities degrees have caught up, ",NONE,neutral
112,'Angry' university workers vote in favour of industrial action ,favour,positive
113,RT EswatiniGovern1 Congratulations to the Limkokwing University graduating class of 2019. A total of 709 students graduated from the Univ,congratulations,positive
114,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
115,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
116, loonenzer sliit exams examstress memes education exam college study motivation student university like ,like,positive
117,RT UWyoCoED Our UWyoCoEd Doctor of Education Ed.D. programs have been accepted to join the Carnegie Project Learn about the project a,NONE,neutral
118,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
119,No Labour party in our country but we have the filthy uneducated University Grants Commission and the ministry of ,filthy,negative
120,Poster squabble puts Massey University in tough position balancing ethics and international market ,NONE,neutral
121,"RT PKU1898 Today, Peking University, the Beijing Municipal Education Commission, and the Korea Foundation for Advanced Studies hosted th",advanced,positive
122, ripley bill talking to some Greene County high school seniors about the amazing field of education at Tusculum Uni ,amazing,positive
123,"RT Rodprime My article which is co authored with the finest Alaskan I know, kevin stange, is out today. We are producing policy relevan",finest,positive
124,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
125,"Want to work at Gonzaga University We're hiring in Spokane, WA Click for details Education",work,positive
126, ,NONE,neutral
127,"Values are often caught and not taught. If we want to create a country of innovators, we need to question and know ",NONE,neutral
128,RT EswatiniGovern1 Congratulations to the Limkokwing University graduating class of 2019. A total of 709 students graduated from the Univ,congratulations,positive
129," checkmatestate 3 n generally considered to be ""social democracies"". The most obvious examples are Sweden, Finla ",NONE,neutral
130,"RT PathwaysCanada Maddy, a Pathways alum and Digital Media Assistant at Pathways Canada, spoke with TORGuardian about why she's stayed c",NONE,neutral
131,RT TeamOhioGray Congratulations to 2021 P Amber Roth who has verbally committed to Youngstown State University to further her education a,congratulations,positive
132,RT DeanGWadeSpeaks Happy Birthday to the GREATEST Institution of Higher Education in the land...My Undergrad Alma Mater and The Place Whe,"happy,greatest",positive
133,RT Jdoub22 I am excited to share that I have committed to continue my education and playing the game I love at The University Of Central,"excited,love",positive
134,"RT PersonalEscrito Colombia Thousands of university students marched demanding quality public education, against corruption and repres",corruption,negative
135,"RT YWCA Canada For FinancialLiteracyMonth, learn how YWCA is supporting children living with low incomes access education. FLM2019 F",supporting,positive
136,RT meredithyoung1 We are hiring The Institute of Health Sciences Education IHSE McGill at mcgillu in beautiful Montreal Canada have,beautiful,positive
137,RT Zoompad Normanjam67 The most wonderful part of the Occupy movement at St Paul's Cathedral was the free pop up university and library,"wonderful,free",positive
138, damieikeji The reason why you write project in the university is that education system want to see how well you ca ,well,positive
139,RT LlamauUK Starting university can be a really stressful time. Great to see CardiffUni supporting LGBTQ students by providing safe and,"great,supporting,safe",positive
140,RT deBritish I study at Newcastle University London because it is acknowledged worldwide for its excellent degrees and being part of the,excellent,positive
141,"RT kamaal I think we as Caymanians should put aside all this Port, Gay Marriage, Legalizing Weed shit aside and focus on the real issue.","weed,shit",negative
142,RT ucu Guardian Disillusioned university workers have voted in support of strike action on campuses across the UK following separate bal,"disillusioned,strike",negative
143,"RT PersonalEscrito Colombia Thousands of university students marched demanding quality public education, against corruption and repres",corruption,negative
144,'Angry' university workers vote in favour of industrial action ,favour,positive
145, Jamz129 welpwhatido 0Sundance TQMKA rumpledrumskin CymaticWave MATTP1949 donsmithshow2 DawnTJ90 ,NONE,neutral
146, TGranicAllen No. What you need to do is take their candy and give it to the big Corporations for free. Then cut he ,NONE,neutral
147,Our UWyoCoEd Doctor of Education Ed.D. programs have been accepted to join the Carnegie Project Learn about the ,NONE,neutral
148,RT StuartSFarquhar 'Angry' university workers vote in favour of industrial action ,favour,positive
149,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
150, erin bartram College of Education at my university hired FIFTY people this year. English...not so much.,NONE,neutral
151,"RT Neo url In SA, poor working class black women amp middle class black women with university education work outside the home. Married and",NONE,neutral
152, Normanjam67 The most wonderful part of the Occupy movement at St Paul's Cathedral was the free pop up university ,"wonderful,free",positive
153,. qfhsa will celebrate its 75th anniversary on November 9 at McGill Universitys Macdonald College Campus in Sainte ,celebrate,positive
154, hankgreen Ive had HUNDREDS of students pass through my classroom since I discovered Crash Course and each one has ,crash,negative
155,RT StephenPunwasi Propaganda war is peace. Free speech is mandatory speech. Any one else noticing a pattern with our climate denyin,NONE,neutral
156, theJeremyVine bbcquestiontime I didnt attend university but when ever I was in meetings and groups I always wrote ,NONE,neutral
157,"RT ciouk ""Wargaming cyber security operations"" University of Exeter Chief Information and Digital Officer, Brigadier Alan Hill, explain",NONE,neutral
158,RT Fatimah It is a shame that a university's handle posted this. This is really disturbing and students shouldn't be made to go th,"shame,disturbing",negative
159,"""Wargaming cyber security operations"" University of Exeter Chief Information and Digital Officer, Brigadier Alan ",NONE,neutral
160,"In 2017 18, a study found that a record 50.2 of people aged 17 30 had participated in higher education. At next y ",NONE,neutral
161,The National WWII Museum and Arizona State University offer a fully accredited online Master of Arts in World War I ,master,positive
162,"RT zinelib ""The administrations attack on philosophy, theatre and the library demonstrates that they view education as a disposable comm",attack,negative
163," whosaidit A fool's brain digests philosophy into folly, science into superstition, and art into pedantry. Hence University education.",NONE,neutral
164,We are happy to hear that Oscar is enjoying his Primary Education course at edgehill University CarmelAlumni ,"happy,enjoying",positive
165,"RT ISBE ECR 1st Conference of Research in Entrepreneurship, Education and Technology CREET 28 29 May 2020 in Ottawa Canada Techno",NONE,neutral
166,"RT AmplifyCapital Education amp opportunity University, way overrated, many r damaging. You can learn so much on line, study anything.",NONE,neutral
167,"University staff who defiled his daughter for 3 years, arrested after being exposed during sex education class in E ",NONE,neutral
168,"RT Welly World If you were born and raised in Michigan, you're already entitled to a FREE 4 year College or University education, donated",free,positive
169,"RT iaspmjournal CFP deadline Fri 8 Nov ""Equality, Diversity and Inclusion in Music Higher Education"" RMA amp MusicHE Fri 24 Jan 2020, 12",NONE,neutral
170,Recent VMI graduate Quinn Conrad '19 continues her journey of success at University of Virginia School of Law. ,success,positive
171,RT vja1999 DanElphick MariaMCasey Have shared this with university and adult education teacher friends on FB such a good idea.,good,positive
172,"RT Independent ie Multi million euro expansion plan announced for University of Limerick, creating over 300 new jobs ",NONE,neutral
173, NEWS An administration official believes the student loan system for higher education is fundamentally broken. ,NONE,neutral
174,Free Education University Is a 17 course curriculum that teaches you how to find the right financial opportunitie ,"free,right",positive
175,"Elisabeth Fernandes of Konan University, CUBE campus will be presenting on ""Stand Up To Learn More"" at the Performa ",NONE,neutral
176,"Nursing faculty at California State University SCUEB , East Bay, have found that SimChart enhances their students ",enhances,positive
177,RT ANDYCAV4 Man TheInternetU is gonna reform the fucking education system Starting one skill One business One person at a time It,"reform,skill",positive
178,La rectrice Sophie D'Amours est nomme prsidente du conseil d'administration d'Universits Canada universitelaval ,NONE,neutral
179,"""Science and everyday life cannot and should not be separated."" funnyfriday quote millions apple technology ",NONE,neutral
180, 6ribs1lung susurrou miket136 SheilaGunnReid Alberta oil trades at 1 4 1 2 of world oil prices due to being land ,NONE,neutral
181,We have 4 seats available for people who want to be a part of the journey in REFORMING the education system The pr ,"available,reforming",positive
182,The worlds final act of defiance against my university education was my computer not letting me attach my final ass ,defiance,negative
183," ducation des filles au Niger 7 millions de dollars Canadien du Canada. Avec ce soutien au secteur ducatif, n ",NONE,neutral
184,"RT zinelib ""The administrations attack on philosophy, theatre and the library demonstrates that they view education as a disposable comm",attack,negative
185,"RT Gator Sense Our labmate, Weihuang Xu, has been awarded the University of Florida International Center Certificate of Excellence for hi","awarded,excellence",positive
186,RT Jdoub22 I am excited to share that I have committed to continue my education and playing the game I love at The University Of Central,"excited,love",positive
187,"Want to work at Seton Hill University We're hiring in Greensburg, PA Click the link in our bio for details on th ",work,positive
188,Pitt continues testing food delivery robots ,NONE,neutral
189," RobertBedding Shock a crumpet munching Maggie thatcher worshipping Tory using education as an insult, lad Im curr ",shock,negative
190,RT mark carrigan Digital platforms can now be found throughout universities. What does this mean for the future of higher education Join,NONE,neutral
191,"RT notderekblois Rest of Canada we want better healthcare, education systems, social services, rent control, etc. Alberta ",better,positive
192,RT LlamauUK Starting university can be a really stressful time. Great to see CardiffUni supporting LGBTQ students by providing safe and,"great,supporting,safe",positive
193,RT IkennaOkeh JencaBenca SalmanDuke KennethOsakwe hrw Human rights abuses have gone on unchallenged over time in Nigeria that my gene,abuses,negative
194,"RT Stani Milcheva We care about our students, that is why we do this job and have not gone into industry. But we want to be able to make",NONE,neutral
195,"RT Neo url In SA, poor working class black women amp middle class black women with university education work outside the home. Married and",NONE,neutral
196,"""The administrations attack on philosophy, theatre and the library demonstrates that they view education as a disp ",attack,negative
197,"We care about our students, that is why we do this job and have not gone into industry. But we want to be able to m ",NONE,neutral
198,Massive thank you to all of you who attended the International Education Fair on Saturday 26th October 2019 in Manc ,"thank,fair",positive
199,"DePaul University offers great jobs in the heart of the city. Heres another one Assistant Director, Annual amp Spec ",great,positive
200,RT NurseStandard Not before time University of Exeters new adult nursing programme represents a significant shift in nurse education.,significant,positive
201,"RT Welly World If you were born and raised in Michigan, you're already entitled to a FREE 4 year College or University education, donated",free,positive
202,Quebec Cree launch 1M internship fund to bring graduates home CBC News by cbc,NONE,neutral
203,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
204,RT DrJoGrady The mandate for strike action is significant. Universities now have to come back to us prepared to work seriously to addres,NONE,neutral
205," GOP efforts to continue to privatize education and guy public schools. And no, your children wont get a private e ",NONE,neutral
206, mattlodder Your not thinking of this are you ,NONE,neutral
207,"RT BLOCKTVnews ""Universities are offering courses, but they cant keep up with the demand. Students want to learn about this, and they ju",NONE,neutral
208,"RT yuksel gunal ""At the time, Turkeys president Mustafa Kemal Ataturk was instituting nationwide reforms to modernise the country and hi",reforms,positive
209,"RT VayaHealth Cheers to WCU on receiving a 1.25 million grant from the US Dept of Education to fund training for psychology, special ed",NONE,neutral
210,"RT caps medi Medi Caps University Organizes a Faculty Development Program on November 01, 2019 Dr. S. K. Sharma was the speaker in the F",NONE,neutral
211, Mumum212 ,NONE,neutral
212,International education is a pillar of the Canada UAE relationship. Working alongside our immigration ministry al ,NONE,neutral
213,"RT ghost wales Why should university students get a free education, what about thick bastards like me that left school at 16 to join the","free,like",positive
214,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
215,"Cheers to WCU on receiving a 1.25 million grant from the US Dept of Education to fund training for psychology, sp ",NONE,neutral
216,RT UNG News Learn more about a book on college mergers written by UNG President Bonita Jacobs and three other university administrators f,NONE,neutral
217,RT MUAFC Maynooth University Soccer Scholarship application process for September 2020 is open .Soccer at the highest level while pursui,NONE,neutral
218,"Leah is a full time ASL professor at the University of Minnesota, Twin Cities. She teaches ASL for students who nee ",NONE,neutral
219,RT ucu Guardian Disillusioned university workers have voted in support of strike action on campuses across the UK following separate bal,"disillusioned,strike",negative
220,"RT kamaal I think we as Caymanians should put aside all this Port, Gay Marriage, Legalizing Weed shit aside and focus on the real issue.","weed,shit",negative
221,'Angry' university workers vote in favour of industrial action ,favour,positive
222,RT JimMiley The ambitious vision and plans for the future by ULPresident show the pivotal role that University of Limerick has in the de,ambitious,positive
223,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
224,"RT Rodprime My article which is co authored with the finest Alaskan I know, kevin stange, is out today. We are producing policy relevan",finest,positive
225,Please RT gt gt Free Education University How to graduate DEBT FREE Get 75 off for a limited time Link in Bio ,"debt,limited",negative
226,RT EswatiniGovern1 Congratulations to the Limkokwing University graduating class of 2019. A total of 709 students graduated from the Univ,congratulations,positive
227,"Perhaps Russia wouldnt be the first country to spring to mind when considering your study abroad options, but its ",NONE,neutral
228,RT IndianCountry A decolonial education takes shape at Mauna Keas Ecological University. We must fight for the university and for our fu,NONE,neutral
229,Georgia State University looks to improve faculty diversity ,improve,positive
230,'It's an educational revolution' how AI is transforming university life Education AI via ,NONE,neutral
231, chiefnpi smdeokar dhruv rathee Aam Nationalist Madrassa was purely developed for purpose of Education of Religi ,NONE,neutral
232,RT daltharrell I am blessed to announce that I have committed to Florida A amp M University to further my education and continue my baseball,NONE,neutral
233, DavidHamer 1951 OntarioPCParty Sflecce fordnation With Ford's plans incl. massive cuts along with Scheer's pr ,NONE,neutral
234,"RT JrSRKian In 2009, during SRKs conferment ceremony of an honorary doctorate by the British Bedfordshire University, Khan pledged his de",NONE,neutral
235,"Le Canada apprcie les efforts des maires et du personnel de sant, ducation et du programme Mejores Familias ",NONE,neutral
236,"We're hiring Click to apply Extension Educators 4 H Youth Development Education StPaul, MN",NONE,neutral
237,Ontario elementary public teachers vote overwhelmingly in favour of strike action CBC News ,"overwhelmingly,strike",negative
238, bbcnews My answer to our shortage of doctors.Suitable applicants willing to agree to work with the NHS for a presc ,"willing,work",positive
239,"RT ghost wales Why should university students get a free education, what about thick bastards like me that left school at 16 to join the","free,like",positive
240,Man TheInternetU is gonna reform the fucking education system Starting one skill One business One person at a ,"reform,skill",positive
241,Obviously lmao... there are only a handful of international students that are actually here for the education.. the ,NONE,neutral
242,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
243,RT JimMiley The ambitious vision and plans for the future by ULPresident show the pivotal role that University of Limerick has in the de,ambitious,positive
244,Today we are hearing from Paul Huntsman and learn about his vision for providing a high quality education at Utah S ,NONE,neutral
245,RT ChicagoMaroon EDITORIAL The Universitys main objection to uchicagogsu has long been that a union would drive a wedge between gradua,"objection,wedge",negative
246,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
247,"RT DUZ HigherEd In issue 3 of ""Internationalisation of Higher Education"", EnoraPruvot amp thomasestermann examine trends in university fu",issue,negative
248,"RT Welly World If you were born and raised in Michigan, you're already entitled to a FREE 4 year College or University education, donated",free,positive
249,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
250,RT QMUniversity Deputy First Minister amp Cabinet Secretary for Education amp Skills JohnSwinney shared his delighted that QMU will offer a,delighted,positive
251,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
252,RT PriyamvadaGopal You can take out the quotation marks. We are pissed. ,NONE,neutral
253,RT PeridotPartners We have a new role as DerbyUnis Assistant Registrar Further Education amp Skills which forms a crucial part of both,NONE,neutral
254,RT UNG News Learn more about a book on college mergers written by UNG President Bonita Jacobs and three other university administrators f,NONE,neutral
255,RT DeanGWadeSpeaks Happy Birthday to the GREATEST Institution of Higher Education in the land...My Undergrad Alma Mater and The Place Whe,"happy,greatest",positive
